sh,a,rh,x,wavelength,absorption
35.0,100.0,13.0,150.0,200.0,0.99065241249837
35.0,100.0,13.0,150.0,200.18684105165,0.99067528750758
35.0,100.0,13.0,150.0,200.37403152551,0.99069793566345
35.0,100.0,13.0,150.0,200.56157240273,0.9907203584257
35.0,100.0,13.0,150.0,200.74946466809,0.99074255723529
35.0,100.0,13.0,150.0,200.93770931011,0.9907645335146
35.0,100.0,13.0,150.0,201.126307321,0.99078628866757
35.0,100.0,13.0,150.0,201.31525969668,0.99080782407988
35.0,100.0,13.0,150.0,201.50456743686,0.99082914111915
35.0,100.0,13.0,150.0,201.69423154498,0.99085024113509
35.0,100.0,13.0,150.0,201.88425302826,0.99087112545963
35.0,100.0,13.0,150.0,202.07463289775,0.99089179540714
35.0,100.0,13.0,150.0,202.26537216828,0.99091225227457
35.0,100.0,13.0,150.0,202.45647185855,0.99093249734158
35.0,100.0,13.0,150.0,202.64793299108,0.99095253187072
35.0,100.0,13.0,150.0,202.83975659229,0.9909723571076
35.0,100.0,13.0,150.0,203.03194369247,0.990991974281
35.0,100.0,13.0,150.0,203.22449532584,0.99101138460304
35.0,100.0,13.0,150.0,203.41741253051,0.99103058926933
35.0,100.0,13.0,150.0,203.61069634858,0.9910495894591
35.0,100.0,13.0,150.0,203.80434782609,0.99106838633535
35.0,100.0,13.0,150.0,203.99836801306,0.99108698104498
35.0,100.0,13.0,150.0,204.19275796352,0.99110537471894
35.0,100.0,13.0,150.0,204.38751873552,0.99112356847234
35.0,100.0,13.0,150.0,204.58265139116,0.99114156340462
35.0,100.0,13.0,150.0,204.77815699659,0.99115936059963
35.0,100.0,13.0,150.0,204.97403662203,0.9911769611258
35.0,100.0,13.0,150.0,205.17029134181,0.99119436603625
35.0,100.0,13.0,150.0,205.36692223439,0.9912115763689
35.0,100.0,13.0,150.0,205.56393038235,0.9912285931466
35.0,100.0,13.0,150.0,205.76131687243,0.99124541737726
35.0,100.0,13.0,150.0,205.95908279555,0.99126205005397
35.0,100.0,13.0,150.0,206.15722924684,0.99127849215508
35.0,100.0,13.0,150.0,206.35575732563,0.99129474464434
35.0,100.0,13.0,150.0,206.5546681355,0.99131080847103
35.0,100.0,13.0,150.0,206.75396278429,0.99132668457004
35.0,100.0,13.0,150.0,206.95364238411,0.99134237386198
35.0,100.0,13.0,150.0,207.15370805137,0.9913578772533
35.0,100.0,13.0,150.0,207.35416090683,0.9913731956364
35.0,100.0,13.0,150.0,207.55500207555,0.99138832988971
35.0,100.0,13.0,150.0,207.75623268698,0.99140328087783
35.0,100.0,13.0,150.0,207.95785387495,0.99141804945158
35.0,100.0,13.0,150.0,208.15986677769,0.99143263644815
35.0,100.0,13.0,150.0,208.36227253785,0.99144704269116
35.0,100.0,13.0,150.0,208.56507230256,0.99146126899077
35.0,100.0,13.0,150.0,208.76826722338,0.99147531614378
35.0,100.0,13.0,150.0,208.97185845639,0.99148918493369
35.0,100.0,13.0,150.0,209.17584716218,0.99150287613085
35.0,100.0,13.0,150.0,209.38023450586,0.99151639049248
35.0,100.0,13.0,150.0,209.58502165712,0.9915297287628
35.0,100.0,13.0,150.0,209.79020979021,0.9915428916731
