sh,a,rh,x,wavelength,absorption
35.0,100.0,13.0,150.0,200.0,0.86145593710962
35.0,100.0,13.0,150.0,200.18684105165,0.86153414829971
35.0,100.0,13.0,150.0,200.37403152551,0.86161349884313
35.0,100.0,13.0,150.0,200.56157240273,0.86169397933662
35.0,100.0,13.0,150.0,200.74946466809,0.86177558037541
35.0,100.0,13.0,150.0,200.93770931011,0.86185829255484
35.0,100.0,13.0,150.0,201.126307321,0.86194210647178
35.0,100.0,13.0,150.0,201.31525969668,0.86202701272612
35.0,100.0,13.0,150.0,201.50456743686,0.86211300192222
35.0,100.0,13.0,150.0,201.69423154498,0.86220006467038
35.0,100.0,13.0,150.0,201.88425302826,0.86228819158821
35.0,100.0,13.0,150.0,202.07463289775,0.86237737330209
35.0,100.0,13.0,150.0,202.26537216828,0.86246760044851
35.0,100.0,13.0,150.0,202.45647185855,0.86255886367548
35.0,100.0,13.0,150.0,202.64793299108,0.86265115364386
35.0,100.0,13.0,150.0,202.83975659229,0.86274446102868
35.0,100.0,13.0,150.0,203.03194369247,0.86283877652049
35.0,100.0,13.0,150.0,203.22449532584,0.86293409082663
35.0,100.0,13.0,150.0,203.41741253051,0.86303039467252
35.0,100.0,13.0,150.0,203.61069634858,0.86312767880292
35.0,100.0,13.0,150.0,203.80434782609,0.86322593398316
35.0,100.0,13.0,150.0,203.99836801306,0.86332515100038
35.0,100.0,13.0,150.0,204.19275796352,0.86342532066474
35.0,100.0,13.0,150.0,204.38751873552,0.86352643381055
35.0,100.0,13.0,150.0,204.58265139116,0.86362848129752
35.0,100.0,13.0,150.0,204.77815699659,0.86373145401183
35.0,100.0,13.0,150.0,204.97403662203,0.86383534286732
35.0,100.0,13.0,150.0,205.17029134181,0.86394013880654
35.0,100.0,13.0,150.0,205.36692223439,0.8640458328019
35.0,100.0,13.0,150.0,205.56393038235,0.86415241585668
35.0,100.0,13.0,150.0,205.76131687243,0.86425987900614
35.0,100.0,13.0,150.0,205.95908279555,0.8643682133185
35.0,100.0,13.0,150.0,206.15722924684,0.86447740989598
35.0,100.0,13.0,150.0,206.35575732563,0.86458745987578
35.0,100.0,13.0,150.0,206.5546681355,0.86469835443109
35.0,100.0,13.0,150.0,206.75396278429,0.86481008477197
35.0,100.0,13.0,150.0,206.95364238411,0.86492264214638
35.0,100.0,13.0,150.0,207.15370805137,0.865036017841
35.0,100.0,13.0,150.0,207.35416090683,0.8651502031822
35.0,100.0,13.0,150.0,207.55500207555,0.8652651895369
35.0,100.0,13.0,150.0,207.75623268698,0.86538096831338
35.0,100.0,13.0,150.0,207.95785387495,0.86549753096221
35.0,100.0,13.0,150.0,208.15986677769,0.86561486897696
35.0,100.0,13.0,150.0,208.36227253785,0.86573297389511
35.0,100.0,13.0,150.0,208.56507230256,0.86585183729874
35.0,100.0,13.0,150.0,208.76826722338,0.86597145081537
35.0,100.0,13.0,150.0,208.97185845639,0.86609180611865
35.0,100.0,13.0,150.0,209.17584716218,0.86621289492909
35.0,100.0,13.0,150.0,209.38023450586,0.86633470901481
35.0,100.0,13.0,150.0,209.58502165712,0.86645724019218
35.0,100.0,13.0,150.0,209.79020979021,0.86658048032651
35.0,100.0,13.0,150.0,209.995800084,0.8667044213327
35.0,100.0,13.0,150.0,210.20179372197,0.86682905517588
35.0,100.0,13.0,150.0,210.40819189227,0.86695437387201
35.0,100.0,13.0,150.0,210.6149957877,0.86708036948849
35.0,100.0,13.0,150.0,210.82220660576,0.86720703414473
35.0,100.0,13.0,150.0,211.02982554868,0.8673343600127
35.0,100.0,13.0,150.0,211.23785382341,0.86746233931752
35.0,100.0,13.0,150.0,211.44629264167,0.8675909643379
35.0,100.0,13.0,150.0,211.65514321998,0.86772022740677
35.0,100.0,13.0,150.0,211.86440677966,0.86785012091162
35.0,100.0,13.0,150.0,212.07408454687,0.86798063729512
35.0,100.0,13.0,150.0,212.28417775262,0.86811176905546
35.0,100.0,13.0,150.0,212.49468763281,0.86824350874686
35.0,100.0,13.0,150.0,212.70561542825,0.86837584897999
35.0,100.0,13.0,150.0,212.91696238467,0.8685087824223
35.0,100.0,13.0,150.0,213.12872975277,0.8686423017985
35.0,100.0,13.0,150.0,213.34091878822,0.8687763998909
35.0,100.0,13.0,150.0,213.55353075171,0.86891106953974
35.0,100.0,13.0,150.0,213.76656690894,0.86904630364355
35.0,100.0,13.0,150.0,213.98002853067,0.86918209515949
35.0,100.0,13.0,150.0,214.19391689276,0.86931843710363
35.0,100.0,13.0,150.0,214.40823327616,0.86945532255126
35.0,100.0,13.0,150.0,214.62297896695,0.86959274463716
35.0,100.0,13.0,150.0,214.83815525637,0.86973069655583
35.0,100.0,13.0,150.0,215.05376344086,0.86986917156181
35.0,100.0,13.0,150.0,215.26980482204,0.87000816296985
35.0,100.0,13.0,150.0,215.48628070679,0.87014766415514
35.0,100.0,13.0,150.0,215.70319240725,0.87028766855349
35.0,100.0,13.0,150.0,215.92054124082,0.87042816966159
35.0,100.0,13.0,150.0,216.13832853026,0.87056916103709
35.0,100.0,13.0,150.0,216.35655560363,0.87071063629881
35.0,100.0,13.0,150.0,216.5752237944,0.87085258912688
35.0,100.0,13.0,150.0,216.79433444139,0.87099501326286
35.0,100.0,13.0,150.0,217.01388888889,0.87113790250983
35.0,100.0,13.0,150.0,217.2338884866,0.87128125073255
35.0,100.0,13.0,150.0,217.45433458974,0.87142505185752
35.0,100.0,13.0,150.0,217.67522855899,0.87156929987302
35.0,100.0,13.0,150.0,217.8965717606,0.87171398882925
35.0,100.0,13.0,150.0,218.11836556638,0.87185911283828
35.0,100.0,13.0,150.0,218.34061135371,0.87200466607419
35.0,100.0,13.0,150.0,218.56331050561,0.87215064277302
35.0,100.0,13.0,150.0,218.78646441074,0.8722970372328
35.0,100.0,13.0,150.0,219.01007446343,0.87244384381357
35.0,100.0,13.0,150.0,219.23414206372,0.87259105693733
35.0,100.0,13.0,150.0,219.45866861741,0.87273867108806
35.0,100.0,13.0,150.0,219.68365553603,0.87288668081164
35.0,100.0,13.0,150.0,219.90910423692,0.87303508071583
35.0,100.0,13.0,150.0,220.13501614323,0.8731838654702
35.0,100.0,13.0,150.0,220.361392684,0.87333302980606
35.0,100.0,13.0,150.0,220.58823529412,0.87348256851636
35.0,100.0,13.0,150.0,220.8155454144,0.87363247645562
35.0,100.0,13.0,150.0,221.0433244916,0.87378274853985
35.0,100.0,13.0,150.0,221.27157397846,0.87393337974635
35.0,100.0,13.0,150.0,221.50029533373,0.87408436511367
35.0,100.0,13.0,150.0,221.72949002217,0.87423569974145
35.0,100.0,13.0,150.0,221.95915951465,0.87438737879024
35.0,100.0,13.0,150.0,222.18930528811,0.87453939748139
35.0,100.0,13.0,150.0,222.41992882562,0.87469175109686
35.0,100.0,13.0,150.0,222.65103161645,0.87484443497904
35.0,100.0,13.0,150.0,222.88261515602,0.87499744453059
35.0,100.0,13.0,150.0,223.11468094601,0.87515077521422
35.0,100.0,13.0,150.0,223.34723049434,0.87530442255249
35.0,100.0,13.0,150.0,223.58026531525,0.87545838212762
35.0,100.0,13.0,150.0,223.81378692927,0.87561264958124
35.0,100.0,13.0,150.0,224.04779686333,0.87576722061416
35.0,100.0,13.0,150.0,224.28229665072,0.87592209098616
35.0,100.0,13.0,150.0,224.51728783116,0.87607725651573
35.0,100.0,13.0,150.0,224.75277195085,0.87623271307978
35.0,100.0,13.0,150.0,224.98875056247,0.87638845661343
35.0,100.0,13.0,150.0,225.22522522523,0.87654448310969
35.0,100.0,13.0,150.0,225.46219750488,0.87670078861922
35.0,100.0,13.0,150.0,225.69966897382,0.87685736925001
35.0,100.0,13.0,150.0,225.93764121103,0.87701422116711
35.0,100.0,13.0,150.0,226.17611580217,0.87717134059231
35.0,100.0,13.0,150.0,226.41509433962,0.87732872380381
35.0,100.0,13.0,150.0,226.65457842248,0.87748636713597
35.0,100.0,13.0,150.0,226.89456965663,0.8776442669789
35.0,100.0,13.0,150.0,227.13506965475,0.8778024197782
35.0,100.0,13.0,150.0,227.37608003638,0.87796082203458
35.0,100.0,13.0,150.0,227.61760242792,0.8781194703035
35.0,100.0,13.0,150.0,227.85963846271,0.87827836119489
35.0,100.0,13.0,150.0,228.10218978102,0.8784374913727
35.0,100.0,13.0,150.0,228.34525803014,0.87859685755461
35.0,100.0,13.0,150.0,228.58884486437,0.87875645651161
35.0,100.0,13.0,150.0,228.83295194508,0.87891628506764
35.0,100.0,13.0,150.0,229.07758094075,0.87907634009923
35.0,100.0,13.0,150.0,229.32273352698,0.87923661853507
35.0,100.0,13.0,150.0,229.56841138659,0.87939711735563
35.0,100.0,13.0,150.0,229.81461620959,0.87955783359276
35.0,100.0,13.0,150.0,230.06134969325,0.87971876432931
35.0,100.0,13.0,150.0,230.30861354215,0.87987990669867
35.0,100.0,13.0,150.0,230.55640946818,0.8800412578844
35.0,100.0,13.0,150.0,230.80473919064,0.88020281511976
35.0,100.0,13.0,150.0,231.05360443623,0.88036457568733
35.0,100.0,13.0,150.0,231.30300693909,0.88052653691854
35.0,100.0,13.0,150.0,231.55294844088,0.88068869619326
35.0,100.0,13.0,150.0,231.80343069077,0.88085105093935
35.0,100.0,13.0,150.0,232.05445544554,0.88101359863219
35.0,100.0,13.0,150.0,232.30602446957,0.88117633679427
35.0,100.0,13.0,150.0,232.55813953488,0.88133926299471
35.0,100.0,13.0,150.0,232.81080242123,0.88150237484879
35.0,100.0,13.0,150.0,233.0640149161,0.8816656700175
35.0,100.0,13.0,150.0,233.31777881475,0.88182914620707
35.0,100.0,13.0,150.0,233.57209592027,0.8819928011685
35.0,100.0,13.0,150.0,233.82696804365,0.88215663269709
35.0,100.0,13.0,150.0,234.08239700375,0.8823206386319
35.0,100.0,13.0,150.0,234.3383846274,0.88248481685537
35.0,100.0,13.0,150.0,234.59493274945,0.88264916529273
35.0,100.0,13.0,150.0,234.85204321278,0.88281368191156
35.0,100.0,13.0,150.0,235.10971786834,0.88297836472129
35.0,100.0,13.0,150.0,235.36795857524,0.88314321177269
35.0,100.0,13.0,150.0,235.62676720075,0.88330822115736
35.0,100.0,13.0,150.0,235.88614562038,0.88347339100725
35.0,100.0,13.0,150.0,236.14609571788,0.8836387194941
35.0,100.0,13.0,150.0,236.40661938534,0.88380420482899
35.0,100.0,13.0,150.0,236.66771852319,0.88396984526177
35.0,100.0,13.0,150.0,236.92939504028,0.88413563908057
35.0,100.0,13.0,150.0,237.19165085389,0.88430158461125
35.0,100.0,13.0,150.0,237.45448788982,0.8844676802169
35.0,100.0,13.0,150.0,237.71790808241,0.88463392429731
35.0,100.0,13.0,150.0,237.98191337458,0.88480031528842
35.0,100.0,13.0,150.0,238.24650571792,0.88496685166177
35.0,100.0,13.0,150.0,238.51168707267,0.88513353192402
35.0,100.0,13.0,150.0,238.77745940783,0.88530035461635
35.0,100.0,13.0,150.0,239.0438247012,0.88546731831394
35.0,100.0,13.0,150.0,239.31078493937,0.88563442162544
35.0,100.0,13.0,150.0,239.57834211787,0.88580166319239
35.0,100.0,13.0,150.0,239.84649824113,0.88596904168868
35.0,100.0,13.0,150.0,240.11525532255,0.88613655582
35.0,100.0,13.0,150.0,240.38461538462,0.88630420432329
35.0,100.0,13.0,150.0,240.65458045885,0.88647198596618
35.0,100.0,13.0,150.0,240.92515258593,0.8866398995464
